category,function,gene,hex_code
general,ribosomal-RNA,rrn23, #927441 
general,ribosomal-RNA,rrn16, #927441 
general,ribosomal-RNA,rrn5, #927441 
general,ribosomal-RNA,rrn4.5, #927441 
general,transfer-RNAs,trnA-UGC, #ba9158 
general,transfer-RNAs,trnC-GCA, #ba9158 
general,transfer-RNAs,trnD-GUC, #ba9158 
general,transfer-RNAs,trnE-UUC, #ba9158 
general,transfer-RNAs,trnF-GAA, #ba9158 
general,transfer-RNAs,trnG-GCC, #ba9158 
general,transfer-RNAs,trnG-UCC, #ba9158 
general,transfer-RNAs,trnH-GUG, #ba9158 
general,transfer-RNAs,trnI-CAU, #ba9158 
general,transfer-RNAs,trnI-GAU, #ba9158 
general,transfer-RNAs,trnK-UUU, #ba9158 
general,transfer-RNAs,trnL-CAA, #ba9158 
general,transfer-RNAs,trnL-UAA, #ba9158 
general,transfer-RNAs,trnL-UAG, #ba9158 
general,transfer-RNAs,trnM-CAU, #ba9158 
general,transfer-RNAs,trnfM-CAU, #ba9158 
general,transfer-RNAs,trnN-GUU, #ba9158 
general,transfer-RNAs,trnP-UGG, #ba9158 
general,transfer-RNAs,trnQ-UUG, #ba9158 
general,transfer-RNAs,trnR-ACG, #ba9158 
general,transfer-RNAs,trnR-UCU, #ba9158 
general,transfer-RNAs,trnS-GCU, #ba9158 
general,transfer-RNAs,trnS-GGA, #ba9158 
general,transfer-RNAs,trnS-UGA, #ba9158 
general,transfer-RNAs,trnT-GGU, #ba9158 
general,transfer-RNAs,trnT-UGU, #ba9158 
general,transfer-RNAs,trnV-GAC, #ba9158 
general,transfer-RNAs,trnV-UAC, #ba9158 
general,transfer-RNAs,trnW-CCA, #ba9158 
general,transfer-RNAs,trnY-GUA, #ba9158 
general,Transcription-and-splicing,rpoA, #d1b187 
general,Transcription-and-splicing,rpoB, #d1b187 
general,Transcription-and-splicing,rpoC1, #d1b187 
general,Transcription-and-splicing,rpoC2, #d1b187 
general,Transcription-and-splicing,matK, #d1b187 
translation_ribo,Initiation-factor,InfA, #79444a 
translation_ribo,Small-subunit,rps2, #c77b58 
translation_ribo,Small-subunit,rps3, #c77b58 
translation_ribo,Small-subunit,rps4, #c77b58 
translation_ribo,Small-subunit,rps7, #c77b58 
translation_ribo,Small-subunit,rps8, #c77b58 
translation_ribo,Small-subunit,rps11, #c77b58 
translation_ribo,Small-subunit,rps12, #c77b58 
translation_ribo,Small-subunit,rps14, #c77b58 
translation_ribo,Small-subunit,rps15, #c77b58 
translation_ribo,Small-subunit,rps16, #c77b58 
translation_ribo,Small-subunit,rps18, #c77b58 
translation_ribo,Small-subunit,rps19, #c77b58 
translation_ribo,Large-subunit,rpl2, #ae5d40 
translation_ribo,Large-subunit,rpl14, #ae5d40 
translation_ribo,Large-subunit,rpl16, #ae5d40 
translation_ribo,Large-subunit,rpl20, #ae5d40 
translation_ribo,Large-subunit,rpl22, #ae5d40 
translation_ribo,Large-subunit,rpl23, #ae5d40 
translation_ribo,Large-subunit,rpl32, #ae5d40 
translation_ribo,Large-subunit,rpl33, #ae5d40 
translation_ribo,Large-subunit,rpl36, #ae5d40 
photosynthesis,ATP-synthase,atpA, #4b726e 
photosynthesis,ATP-synthase,atpB, #4b726e 
photosynthesis,ATP-synthase,atpE, #4b726e 
photosynthesis,ATP-synthase,atpF, #4b726e 
photosynthesis,ATP-synthase,atpH, #4b726e 
photosynthesis,ATP-synthase,atpI, #4b726e 
photosynthesis,Photosystem-I,psaA, #77743b 
photosynthesis,Photosystem-I,psaB, #77743b 
photosynthesis,Photosystem-I,psaC, #77743b 
photosynthesis,Photosystem-I,psaI, #77743b 
photosynthesis,Photosystem-I,psaJ, #77743b 
photosynthesis,Photosystem-I,ycf3, #77743b 
photosynthesis,Photosystem-I,ycf4, #77743b 
photosynthesis,Photosystem-II,psbA, #b3a555 
photosynthesis,Photosystem-II,psbB, #b3a555 
photosynthesis,Photosystem-II,psbC, #b3a555 
photosynthesis,Photosystem-II,psbD, #b3a555 
photosynthesis,Photosystem-II,psbE, #b3a555 
photosynthesis,Photosystem-II,psbF, #b3a555 
photosynthesis,Photosystem-II,psbH, #b3a555 
photosynthesis,Photosystem-II,psbI, #b3a555 
photosynthesis,Photosystem-II,psbJ, #b3a555 
photosynthesis,Photosystem-II,psbK, #b3a555 
photosynthesis,Photosystem-II,psbL, #b3a555 
photosynthesis,Photosystem-II,psbM, #b3a555 
photosynthesis,Photosystem-II,psbM, #b3a555 
photosynthesis,Photosystem-II,psbN, #b3a555 
photosynthesis,Photosystem-II,psbT, #b3a555 
photosynthesis,Photosystem-II,psbZ, #b3a555 
photosynthesis,Calvin-Cycle,rbcL, #4d4539 
photosynthesis,Cytochrome-complex,petA, #8caba1 
photosynthesis,Cytochrome-complex,petB, #8caba1 
photosynthesis,Cytochrome-complex,petD, #8caba1 
photosynthesis,Cytochrome-complex,petG, #8caba1 
photosynthesis,Cytochrome-complex,petL, #8caba1 
photosynthesis,Cytochrome-complex,petN, #8caba1 
photosynthesis,NADH-dehydrogenase,ndhA, #927441 
photosynthesis,NADH-dehydrogenase,ndhB, #927441 
photosynthesis,NADH-dehydrogenase,ndhC, #927441 
photosynthesis,NADH-dehydrogenase,ndhD, #927441 
photosynthesis,NADH-dehydrogenase,ndhE, #927441 
photosynthesis,NADH-dehydrogenase,ndhF, #927441 
photosynthesis,NADH-dehydrogenase,ndhG, #927441 
photosynthesis,NADH-dehydrogenase,ndhH, #927441 
photosynthesis,NADH-dehydrogenase,ndhI, #927441 
photosynthesis,NADH-dehydrogenase,ndhJ, #927441 
photosynthesis,NADH-dehydrogenase,ndhK, #927441 
other,Other,clpP1, #847875 
other,Other,accD, #847875 
other,Other,cemA, #847875 
other,Other,ccsA, #847875 
other,Other,ycf1, #847875 
other,Other,ycf2, #847875 